track_id,track_name,artist_id,artist_name,album_id,album_name,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
track_26,The Strokes Song 2,artist_13,The Strokes,album_13,The Strokes Album,251021,71,False,0.71,0.87,5,-12.9,1,0.032,0.21,0.11,0.16,0.41,102.1,4
track_27,Daft Punk Song 1,artist_14,Daft Punk,album_14,Daft Punk Album,256357,57,False,0.67,0.34,1,-19.3,1,0.064,0.57,0.07,0.12,0.77,95.7,4
track_28,Daft Punk Song 2,artist_14,Daft Punk,album_14,Daft Punk Album,194181,81,True,0.51,0.62,9,-11.9,1,0.032,0.21,0.21,0.26,0.41,118.1,4
track_29,Calvin Harris Song 1,artist_15,Calvin Harris,album_15,Calvin Harris Album,199750,50,False,0.4,0.38,10,-10.0,0,0.05,0.4,0.1,0.15,0.6,105.0,4
track_30,Calvin Harris Song 2,artist_15,Calvin Harris,album_15,Calvin Harris Album,239499,99,False,0.69,0.87,3,-10.1,1,0.068,0.59,0.09,0.14,0.79,149.9,3
track_31,ODESZA Song 1,artist_16,ODESZA,album_16,ODESZA Album,287783,83,False,0.53,0.62,11,-11.7,1,0.036,0.23,0.23,0.28,0.43,118.3,4
track_32,ODESZA Song 2,artist_16,ODESZA,album_16,ODESZA Album,275793,93,False,0.63,0.64,9,-10.7,1,0.056,0.33,0.03,0.08,0.53,119.3,4
track_33,SZA Song 1,artist_17,SZA,album_17,SZA Album,228647,97,False,0.77,0.5,11,-15.3,1,0.044,0.27,0.17,0.22,0.47,114.7,4
track_34,SZA Song 2,artist_17,SZA,album_17,SZA Album,293909,59,False,0.59,0.48,5,-14.1,1,0.048,0.09,0.29,0.34,0.29,100.9,4
track_35,Radiohead Song 1,artist_18,Radiohead,album_18,Radiohead Album,241391,91,True,0.41,0.83,11,-15.9,1,0.052,0.31,0.11,0.16,0.51,99.1,3
track_36,Radiohead Song 2,artist_18,Radiohead,album_18,Radiohead Album,192615,65,False,0.45,0.46,3,-18.5,1,0.06,0.65,0.15,0.2,0.85,141.5,4
